frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.0,2,False,False,-0.21289869110983858,-0.2842470670153058,0.1264551212571438,0.8947564925350724,0.028004683847398605,0.013753460133914302,-0.44546312875847194
1,0.016683,2,False,False,-0.209735025663654,-0.2901148496318432,0.13024477936209983,0.8943047463194058,0.030238407478420385,0.013677607025238894,-0.4462259321126636
2,0.033367,2,False,False,-0.21037234648483702,-0.28975670670434706,0.13003564205251292,0.8942259312613775,0.03156143376117734,0.012544733534352034,-0.4463255419749278
3,0.05005,2,False,False,-0.21301804152699264,-0.28293392924549754,0.12440593386544455,0.8942782704482632,0.03223998642697771,0.010720754534655708,-0.44621970339896355
4,0.066733,2,False,False,-0.21359876516916548,-0.2825731917595463,0.12368352465487137,0.8945253197612916,0.033045408433850204,0.00932022138954278,-0.44569674304469503
5,0.083417,2,False,False,-0.21403813152434206,-0.2819591107879096,0.12287717675909154,0.8947161866101062,0.03348982551575135,0.007950716159655435,-0.4453068190779732
6,0.1001,2,False,False,-0.21422729718510172,-0.281233352821381,0.12249274215032871,0.8946085899117123,0.033547103067689724,0.006642343801092876,-0.4455400565614404
7,0.116783,2,False,False,-0.214384549863709,-0.2801432452661886,0.12221326613327624,0.8944156014034537,0.03370374706729408,0.005948626934726286,-0.4459253337020826
8,0.133467,2,False,False,-0.2145097483520658,-0.2792379479635468,0.122050220891562,0.8941549762479534,0.034392481996440336,0.005622471034990016,-0.4463993990280532
9,0.15015,2,False,False,-0.21445076216230224,-0.2781011983930604,0.12188325192085925,0.8937727183862075,0.03505847523296308,0.0056805443183537835,-0.4471118010063208
10,0.166833,2,False,False,-0.21444830344596025,-0.2770659790807028,0.12213752835920064,0.8933528556330128,0.03536240340057536,0.0058541714879531,-0.44792399403723165
11,0.183517,2,False,False,-0.21493070352803623,-0.2761878993216973,0.12202462514052181,0.8930635580635666,0.03574071858573885,0.006165273745214089,-0.44846635514101174
12,0.2002,2,False,False,-0.21515808147473214,-0.2754641421348859,0.1220250060958317,0.8928935862777152,0.03590362870517616,0.006429379501264905,-0.44878796341830485
13,0.216883,2,False,False,-0.21520413707534097,-0.2798814980913472,0.12387494754922565,0.8927657890078984,0.036489935409151596,0.0068007969165716515,-0.44898939826263173
14,0.233567,2,False,False,-0.215875638378241,-0.2812685828920687,0.12439776367895819,0.8927481240336355,0.03675532478277317,0.006742875430561656,-0.4490037491663798
15,0.25025,2,False,False,-0.21589950112328513,-0.28112358359370754,0.1246885455842956,0.8927580056373826,0.03675413932083688,0.006390578915825207,-0.4489893507804704
16,0.266933,2,False,False,-0.21590935487503501,-0.28075595322859925,0.12469862877881105,0.8927256994279312,0.03666367909215043,0.0056868120122653305,-0.4490704403381233
17,0.283617,2,False,False,-0.21608242896721194,-0.2804771176619186,0.12491639109364519,0.892626533227367,0.03664683513234728,0.004905923442091304,-0.4492781027030532
18,0.3003,2,False,False,-0.21634090875437015,-0.27909447109772323,0.12494307975136529,0.8925625968118465,0.03643652818343979,0.0035161968460483525,-0.4494352306463863
19,0.316983,2,False,False,-0.2167248965229615,-0.2786774296922116,0.12495450986173912,0.8923478229920916,0.03638933533252517,0.002178648639724367,-0.44987379626450397
20,0.333667,2,False,False,-0.2168439305312823,-0.27809582277877853,0.12505808820709388,0.8919146812218147,0.03619537644046474,0.0003577804270312692,-0.4507526684762804
21,0.35035,2,False,False,-0.2173623249830225,-0.2777584587028844,0.12520059558800803,0.8914128088953643,0.03598957175455727,-0.0016152669880726978,-0.45175806110655875
22,0.367033,2,False,False,-0.21773791493570685,-0.27758848038796535,0.12589166476812,0.8909334223386145,0.03603965524466964,-0.0033090902451858545,-0.4526895516041855
23,0.383717,2,False,False,-0.21716102392908473,-0.27622392633887505,0.12693138133595674,0.8906510604036928,0.035992032331794224,-0.004293636491900093,-0.453240363268851
24,0.4004,2,False,False,-0.2181031439086644,-0.2783768334861775,0.12785075724485476,0.8899935911293535,0.03599227372529685,-0.004797686303915746,-0.45452496761662015
25,0.417083,2,False,False,-0.21792671784904072,-0.2781474711073603,0.12846094945597317,0.8892859713605199,0.03541333500118189,-0.005009729712369022,-0.45595093974426637
26,0.433767,2,False,False,-0.2168345381921561,-0.27618974123294737,0.12859550441058298,0.8886360428211901,0.03469639586154601,-0.005084777057279337,-0.4572704763655669
27,0.45045,2,False,False,-0.21697692477119465,-0.27818876126869313,0.12891328594244,0.8881601883794981,0.03445446326429194,-0.00488853954029839,-0.4582144387947928
28,0.467133,2,False,False,-0.2165774105279384,-0.2784597957155674,0.12899233262398271,0.8878783902272827,0.03390306735915863,-0.004750820543801457,-0.4588027636089502
29,0.483817,2,False,False,-0.2151520590511338,-0.27671889419101614,0.12866175620489073,0.8876295885319141,0.032819138730607156,-0.004704378672714642,-0.4593631314297546
30,0.5005,2,False,False,-0.21437981703211723,-0.27684257949357605,0.1283790312362053,0.8873992242507278,0.031535679910830776,-0.004683648051950937,-0.4598980116642097
31,0.517183,2,False,False,-0.21317803318559228,-0.2766420343411269,0.12784994167909308,0.887437626650923,0.030253844261600885,-0.004744485760392525,-0.45990939712778356
32,0.533867,2,False,False,-0.21201503389184748,-0.27649429560525196,0.12683781338662545,0.8877333209117553,0.028832890971452817,-0.004928034003983572,-0.45942782874143595
33,0.55055,2,False,False,-0.2106762845967247,-0.2761625038830213,0.12575389811407073,0.8882481353066869,0.027466006826148706,-0.005145065626509485,-0.45851324614771877
34,0.567233,2,False,False,-0.20956184433267044,-0.27573955721046733,0.12472778855718974,0.8886017003517658,0.026466127484841073,-0.005741843445433433,-0.45787945298053623
35,0.583917,2,False,False,-0.2051023889076849,-0.27544057963834145,0.12082664969309426,0.8883482826925077,0.02644284200442423,-0.0065719392118957515,-0.4583611178525033
36,0.6006,2,False,False,-0.20811259007060254,-0.275504676512257,0.12147278687630805,0.8885298184630629,0.025452755368173395,-0.00705784047668188,-0.4580579721323165
37,0.617283,2,False,False,-0.20686219104785594,-0.27566431491024534,0.12124729971804185,0.8885682968850125,0.02464752087246593,-0.007516967246711282,-0.4580200614483186
38,0.633967,2,False,False,-0.20214319021077085,-0.27425229949943386,0.12031734236695557,0.8885271506391504,0.0243039838753796,-0.007497882626013067,-0.4581185443757809
39,0.65065,2,False,False,-0.20451521282057625,-0.274401183515944,0.12086776649609757,0.8884780228905377,0.02378401283167039,-0.0060033225907391635,-0.4582631162247468
40,0.667333,2,False,False,-0.20314271668653885,-0.27358861419068725,0.1207653920511397,0.8882918085146042,0.023751786887951574,-0.004554675258776505,-0.45864231213307205
41,0.684017,2,False,False,-0.20167447089078436,-0.2725091222755176,0.12045324807571178,0.8879871694578839,0.02386245689852265,-0.0029219388303291876,-0.4592394063039594
42,0.7007,2,False,False,-0.19993401596131724,-0.27149193537292576,0.12019443078447822,0.8876824476138114,0.023762950803737543,-0.0010830793343597112,-0.45984130013147767
43,0.717383,2,False,False,-0.19786257290099482,-0.27060481775298517,0.11999055196213007,0.887401878325873,0.023680501126466386,0.0006985621569502186,-0.4603875022424315
44,0.734067,2,False,False,-0.19642373648171813,-0.2698234753633504,0.1199939696355583,0.8871536643154234,0.023250586602721033,0.002171959546993308,-0.46088292299245864
45,0.75075,2,False,False,-0.19131062912703065,-0.26808753957945075,0.11934665949329565,0.886635239284559,0.022830052509430262,0.002705492820240216,-0.46189763094199693
46,0.767433,2,False,False,-0.19480032341706865,-0.2719664875892126,0.12042053984951667,0.8862394880812509,0.02149424194084816,0.0038303231814252672,-0.46271254138308837
47,0.784117,2,False,False,-0.18235140571481576,-0.2650072463309527,0.11695069499012334,0.8855591021640646,0.021294000752501298,0.0038287874973205985,-0.4640226098937729
48,0.8008,2,False,False,-0.18176994226183094,-0.2644072233640482,0.11732464132540008,0.8852776228689099,0.019996472027678288,0.004806941590680062,-0.4646079690088863
49,0.817483,2,False,False,-0.18017903874631863,-0.26352851581543935,0.11739902929301552,0.8850554638611653,0.01888691432450172,0.005444888316194096,-0.4650703855848279
50,0.834167,2,False,False,-0.178493656865351,-0.26257467774436216,0.11724863253806722,0.8848305861072013,0.01784248545121178,0.006039877323938805,-0.4655319532363183
51,0.85085,2,False,False,-0.18714694898086506,-0.26654419173289146,0.12058610540386971,0.884776418937747,0.015731283274464873,0.007805917477400778,-0.46568474622921807
52,0.867533,2,False,False,-0.1844950870276808,-0.26553091336798057,0.11983730147768387,0.8846261312621274,0.014450100727158542,0.009348194710806893,-0.46598327623727565
53,0.884217,2,False,False,-0.18163595704496246,-0.26444773271628225,0.11858131526859522,0.884845635735697,0.013390879679323996,0.01129533252487816,-0.46555483106080714
54,0.9009,2,False,False,-0.1788412484231037,-0.26324411712570805,0.11713877934360256,0.885227709114518,0.012774842205901901,0.013404178511544473,-0.4647892365587949
55,0.917583,2,False,False,-0.17713259292681402,-0.26189111253880315,0.11710704552281037,0.8856581780645738,0.011995093855547072,0.015679697592280398,-0.4639179414876633
56,0.934267,2,False,False,-0.16454249446891922,-0.256486057294503,0.11063868356182352,0.8854912578320746,0.012244997721989708,0.017577254075498358,-0.46416196793029485
57,0.95095,2,False,False,-0.16149267006976606,-0.2551516273247011,0.10875671292450867,0.8858262136614855,0.011227447684750527,0.019712693594650412,-0.4634622674176247
58,0.967633,2,False,False,-0.16833747237671573,-0.25865591082647854,0.11171440658446652,0.8866204340092465,0.009351652775105782,0.022131969067941615,-0.46187328189970567
59,0.984317,2,False,False,-0.15675137415388435,-0.2531360550531173,0.10572156267363617,0.8865176379139983,0.009684747311316397,0.023145294990826563,-0.4620140459517315
60,1.001,2,False,False,-0.1542942065245068,-0.2513086480351523,0.10430581210552109,0.8866346006082497,0.008863814570494757,0.024435585727561965,-0.4617395585670133
61,1.017683,2,False,False,-0.16117870023903835,-0.254266581600215,0.1080342698882221,0.8871038209210087,0.006973718867899628,0.02609923126104543,-0.46077869772818375
