frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.0,2,False,False,-0.20678617126989388,-0.2885919973482172,0.40595469234012466,0.8770938572998741,-0.011628076420083457,0.007413012750706017,-0.4801210270000207
1,0.016683,2,False,False,-0.20649686525298788,-0.28691197688243997,0.40402425715526036,0.877925104173507,-0.014097621752382404,0.004491906368599823,-0.478569317131844
2,0.033367,2,False,False,-0.20694906080003328,-0.2872157283815126,0.4037903826424042,0.8785344863357002,-0.015560422342948218,0.0032376321283794016,-0.4774144397832746
3,0.05005,2,False,False,-0.20765364879213483,-0.2904139497851056,0.4044468757825512,0.8788966130858317,-0.016588676919551067,0.00299771453578649,-0.4767143515900003
4,0.066733,2,False,False,-0.20814086751506958,-0.2909897717730118,0.4042216023338558,0.8792213476379905,-0.01684107566625773,0.003999550171191357,-0.47609894310580797
5,0.083417,2,False,False,-0.20859972170647323,-0.2915831480082754,0.4040196525585194,0.8794518624428206,-0.016745257463536306,0.005933612565819764,-0.4756561891116869
6,0.1001,2,False,False,-0.20889394790169294,-0.2920675877556195,0.4038646292164486,0.8794067562897558,-0.01625633594411165,0.008205155045984453,-0.47572278058158357
7,0.116783,2,False,False,-0.20923023429492915,-0.29262117927816855,0.40395146818197425,0.8792834389333886,-0.015578807015238439,0.010356271893266933,-0.47593138415314495
8,0.133467,2,False,False,-0.20969428217475328,-0.2928387058413418,0.40399859643957026,0.8791462026641563,-0.014803741282877217,0.012237442455386922,-0.4761649384271956
9,0.15015,2,False,False,-0.20761073921568599,-0.28960232122990365,0.4043180225808881,0.8792502936525656,-0.014710324912977836,0.011816963329594246,-0.47598622546298414
10,0.166833,2,False,False,-0.20731169407702935,-0.2895112923022067,0.40439365379904313,0.8792566647850112,-0.01453417326363597,0.012352526052418725,-0.4759662701692266
11,0.183517,2,False,False,-0.2074577482788121,-0.2890502448841337,0.40458930590261927,0.8793989126408998,-0.01449832600536365,0.012033934645540785,-0.4757126605483526
12,0.2002,2,False,False,-0.2073844168994567,-0.28846699555658556,0.4046167844459286,0.8795807772034632,-0.014554337465596062,0.011087718276813508,-0.47539761267648695
13,0.216883,2,False,False,-0.21201077648334243,-0.29145872284624064,0.4057520376350253,0.8796483165774113,-0.01559822805722106,0.010781345735057367,-0.4752465644359174
14,0.233567,2,False,False,-0.21165018890862738,-0.29129363566147704,0.40599195679597777,0.8794890828789725,-0.016497628718760222,0.01015260612843543,-0.47552466385263614
15,0.25025,2,False,False,-0.21126210269325482,-0.29117906071573657,0.40603373996183867,0.8791607447080133,-0.01747029275873025,0.009805293818177581,-0.47610401179628264
16,0.266933,2,False,False,-0.20835550993475768,-0.28952820138845725,0.4050773230420432,0.8788542214733963,-0.017368782502366138,0.009139024782907079,-0.4766865437777675
17,0.283617,2,False,False,-0.20757684023735395,-0.28985297463573345,0.40492987881289993,0.8785444326198221,-0.017108894169543167,0.008796528852464092,-0.4772730735471654
18,0.3003,2,False,False,-0.20736397079121835,-0.2898508994465278,0.4047823908658234,0.8782639307249064,-0.01668378609231404,0.008932772796985075,-0.477801553826921
19,0.316983,2,False,False,-0.20725974776591316,-0.29016973616806857,0.40457301655006817,0.8779780530030245,-0.016264545222043632,0.00950515054389218,-0.4783300692271776
20,0.333667,2,False,False,-0.20723526845809068,-0.290507717039489,0.4041905451156549,0.8776243023450487,-0.015901926176396648,0.010272380132021655,-0.47897514641541705
21,0.35035,2,False,False,-0.20752554808673113,-0.29088652374693863,0.4041770763575264,0.8771747225585387,-0.015689549354847225,0.010788379154152771,-0.4797936587957562
22,0.367033,2,False,False,-0.20748356166130616,-0.2912345593460864,0.4040042471300337,0.8767627506221947,-0.015429170123863124,0.01124932789178596,-0.48054393394639305
23,0.383717,2,False,False,-0.21335507689942912,-0.2927652570720343,0.4071150004207752,0.8765017374127302,-0.01593133473645664,0.012142207089392081,-0.4809817706451866
24,0.4004,2,False,False,-0.21348418376330358,-0.29303860611822546,0.40700730563366005,0.8761930100796558,-0.01605123056775484,0.01229747732165289,-0.48153602060109324
