frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.0,2,False,False,-0.0921565604898691,-0.29477836621441783,0.36948289183537447,0.8812029653725757,-0.04135063234405079,0.03431530426735983,-0.46967426895281883
1,0.016683,2,False,False,-0.08294573533687526,-0.299387309374095,0.3784249594802095,0.8809877077307926,-0.041289390681104446,0.03521089379118391,-0.4700170613954909
2,0.033367,2,False,False,-0.09092314290432824,-0.29558853853218414,0.36909797493126867,0.8804493312881844,-0.043825526061379835,0.03635982175582756,-0.470708255357304
3,0.05005,2,False,False,-0.0909516557206002,-0.2953583469471149,0.36859833662647334,0.8805597183615369,-0.045572263084248686,0.03773971826278894,-0.4702270354859195
4,0.066733,2,False,False,-0.09128557598740408,-0.29504386511797825,0.36810650685178753,0.8806395615901943,-0.047221499920569884,0.039021448226158946,-0.46980998189248296
5,0.083417,2,False,False,-0.09158778956152237,-0.2946407431276346,0.3675220773972584,0.8807633998893747,-0.04886051186344742,0.03994858760842518,-0.46933207235798774
6,0.1001,2,False,False,-0.09174792874701691,-0.29385044360098045,0.3666743325363314,0.8812873644858538,-0.05052769596102889,0.0405071602396093,-0.4681225300151343
7,0.116783,2,False,False,-0.09234630922116793,-0.2930057156947698,0.36531115044611967,0.8822796293042697,-0.052091105062646546,0.0405798916230677,-0.46607128734125286
8,0.133467,2,False,False,-0.09317236034863026,-0.29203348953831054,0.3637170772199423,0.883466814747027,-0.053827344839108913,0.04012267704473855,-0.4636584680290842
9,0.15015,2,False,False,-0.09420555939876973,-0.29122863404789345,0.36204715196131393,0.8845131359553533,-0.05540624069860556,0.03962055783948712,-0.4615158417763824
10,0.166833,2,False,False,-0.09540934358789753,-0.29047483103636174,0.3600019224154838,0.8854360981899565,-0.0571258733884187,0.038912010325799835,-0.45959265231742014
11,0.183517,2,False,False,-0.09097438670506623,-0.29454148817732684,0.36372947371901343,0.8863440137654461,-0.05800266635793523,0.03884981297035676,-0.45773428098591956
12,0.2002,2,False,False,-0.09201329795664266,-0.2939005832869643,0.36304285320440666,0.8873121485522166,-0.05951933917116689,0.038696147459754145,-0.45567225883089424
13,0.216883,2,False,False,-0.09230254190694884,-0.292987064511139,0.3624158899197002,0.8880683575827255,-0.060523173322138746,0.038738745252384,-0.4540604005720049
14,0.233567,2,False,False,-0.09286235201813534,-0.2924635409746912,0.3622561138711099,0.8884913338113108,-0.06130460871272434,0.039181545985845466,-0.4530890653579456
15,0.25025,2,False,False,-0.0933661624388065,-0.2919525360392183,0.3622369014813799,0.8888596000782614,-0.06186176413117125,0.040127864596918694,-0.4522073506370545
16,0.266933,2,False,False,-0.09409821468175511,-0.2915815846955627,0.3621854971182404,0.889183213244677,-0.0623163554115022,0.04140142996376409,-0.4513931841854216
17,0.283617,2,False,False,-0.09540232374468229,-0.29113893852009826,0.36184764171352707,0.889493309119189,-0.06253735938362483,0.04275954470792259,-0.4506244035223674
18,0.3003,2,False,False,-0.09648368709642077,-0.2906573808031957,0.36162485742985284,0.8896360101405815,-0.06269687588362342,0.04406646807000362,-0.4501944220083319
19,0.316983,2,False,False,-0.09714331006300349,-0.2905460412293378,0.36175783500282493,0.8896070509391316,-0.06326352370849292,0.045094037482508745,-0.4500706047620667
