frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.0,2,False,False,-0.14930312934294418,-0.3862547547880638,0.37273103072137925,0.8819058228197152,0.029877941743499926,-0.014825949283023542,-0.47024421261905036
1,0.016683,2,False,False,-0.16235633987767165,-0.37278027522671864,0.36068735894658865,0.8828292642510263,0.027788259947662302,-0.017884702466389304,-0.4685300846357271
2,0.033367,2,False,False,-0.16263738878271725,-0.37323408537948477,0.36030846613402717,0.8839790250560681,0.026021985036693437,-0.01946771462351479,-0.4663956985682982
3,0.05005,2,False,False,-0.14839765679858086,-0.38826139543451793,0.37054510208284996,0.8851462119357465,0.025269042366259414,-0.020073834581392214,-0.46419252488476137
4,0.066733,2,False,False,-0.14846458041046817,-0.3890413284835607,0.3703010274262001,0.8858991036792713,0.02427802019722584,-0.018967614538660603,-0.4628537408666799
5,0.083417,2,False,False,-0.1484671623919426,-0.38997680243904603,0.37033790218535023,0.88634019359995,0.0243643584162713,-0.017202501303933714,-0.46207306045370655
6,0.1001,2,False,False,-0.14827112095370412,-0.3911831005231195,0.3707073365940421,0.8864195216934401,0.025170303357699795,-0.015196939976157856,-0.4619479845231663
7,0.116783,2,False,False,-0.14825925110268975,-0.3923353103488174,0.37110069075039476,0.8863588462065899,0.026563163619322826,-0.013171001072622887,-0.4620486108848295
8,0.133467,2,False,False,-0.1476126815782036,-0.39401239294128176,0.37140836723720755,0.8861855877817238,0.028200338603250625,-0.011450278949538949,-0.4623296832592523
9,0.15015,2,False,False,-0.14716802419394123,-0.3957157940234801,0.37170121565047676,0.8861792417719806,0.029752849886413548,-0.010181358246616787,-0.46227422523901124
10,0.166833,2,False,False,-0.14615391735228625,-0.3972132165295091,0.37166217685346414,0.8862690909961387,0.031216328301131437,-0.009898736880508146,-0.4620115303760766
11,0.183517,2,False,False,-0.1470696035476339,-0.3874380604044726,0.366968061022297,0.8863182632480642,0.03276757693908729,-0.01121885190476985,-0.4617795572526084
12,0.2002,2,False,False,-0.14498778123459688,-0.3883735794718486,0.36690810149441616,0.8862558386388012,0.03371494143994103,-0.012076079920662106,-0.4618095489442441
13,0.216883,2,False,False,-0.1432882863359651,-0.3889444691095716,0.367480712283282,0.8861330385215228,0.03406686615576416,-0.013240130451390227,-0.461987430149965
14,0.233567,2,False,False,-0.14196443140481926,-0.38937236034225386,0.3680824521818026,0.8859381680519879,0.03396077271026582,-0.014497212019579705,-0.4623311141911916
15,0.25025,2,False,False,-0.1407345352607987,-0.38990888353960573,0.36875530393892014,0.8856475400637089,0.03381552299835185,-0.015500921799125777,-0.4628657112023167
16,0.266933,2,False,False,-0.13960558350850125,-0.39070117203368476,0.3693739922795247,0.8852259201915966,0.033829871431289175,-0.016072655675032646,-0.4636510323070956
17,0.283617,2,False,False,-0.1514867573145614,-0.39001096082823455,0.3737829171635394,0.8852102683010976,0.033096127689559524,-0.015016930797118584,-0.4637692519084138
18,0.3003,2,False,False,-0.14303385687098624,-0.3906331762780262,0.3656862959233149,0.884052129424743,0.0345753375801182,-0.01550578633226243,-0.4658497065374375
19,0.316983,2,False,False,-0.14221212927962612,-0.39167622462862856,0.36505316687653555,0.8834984226079338,0.03535072989922642,-0.014617622927158852,-0.46686956234567717
20,0.333667,2,False,False,-0.14204812262443395,-0.3926701355969239,0.36469821095757055,0.8828247078477498,0.03650216420828762,-0.013729266878682112,-0.4680807990642431
21,0.35035,2,False,False,-0.14194176637332329,-0.3936084024296126,0.3643366700810903,0.8820871316171182,0.037592315641456014,-0.013090484850198815,-0.46940147980868674
22,0.367033,2,False,False,-0.14177820746803063,-0.3943310414596554,0.36443067245903416,0.8815780550949079,0.03853174875388807,-0.012589549737073682,-0.4702945251121518
23,0.383717,2,False,False,-0.14171610790885592,-0.3951851665958949,0.36448973185440314,0.8812437965452169,0.03941590684002807,-0.012116611315103814,-0.47085979342983764
24,0.4004,2,False,False,-0.1482934164474479,-0.3962126912341787,0.37148595210843094,0.8816326626418359,0.03942035210844118,-0.010831177995550967,-0.4701622800543893
25,0.417083,2,False,False,-0.148179757095855,-0.3966663839254339,0.37181517352008286,0.8814898184507903,0.039922057997125324,-0.010609029123928228,-0.47039279092468483
26,0.433767,2,False,False,-0.14107629593035784,-0.39626847001836296,0.36539878373357715,0.8808079085453313,0.04064278638795078,-0.011696816870586718,-0.47158114533314266
27,0.45045,2,False,False,-0.1408580062216596,-0.39648337149910495,0.3656544441423867,0.8807427333292613,0.04042655559418789,-0.011923646293296678,-0.47171575970022883
28,0.467133,2,False,False,-0.1350490792496403,-0.39457775965588815,0.36567289282975973,0.8808357831380454,0.041142441072760556,-0.012179572762949661,-0.4714735206705382
29,0.483817,2,False,False,-0.13500055949382495,-0.3954397919445777,0.36739597858179157,0.8807905738438733,0.041233264050246514,-0.012272813307664845,-0.47154762327580285
30,0.5005,2,False,False,-0.13368728772433638,-0.39626095940464695,0.36786438658614184,0.8807071694340605,0.04138239132912919,-0.012259235377669507,-0.47169067252096764
31,0.517183,2,False,False,-0.13286511542394253,-0.39675870315697925,0.367921030205751,0.880692312102759,0.04152814064797865,-0.012124556639730341,-0.4717090841437211
32,0.533867,2,False,False,-0.13233404093424786,-0.3970769271007994,0.36815890175069177,0.8806700218735833,0.04142506855104611,-0.011774656765506968,-0.47176862308421674
33,0.55055,2,False,False,-0.13167428695275232,-0.3974067528023232,0.3685880335210685,0.8805612147026035,0.04125285447084585,-0.011287372989813292,-0.4719986698820998
34,0.567233,2,False,False,-0.13063104362574385,-0.3977899710993397,0.3688368155268757,0.8803821870894514,0.04117370453268994,-0.010940266841594761,-0.47234758522944087
35,0.583917,2,False,False,-0.12968777107193788,-0.3978769197095357,0.3687178706636578,0.8803333034809617,0.04103964852293051,-0.010590664438320291,-0.47245831547149886
36,0.6006,2,False,False,-0.12852166192110534,-0.3979051680142269,0.3689025848606277,0.880492746540273,0.04113729331371606,-0.01020728556653043,-0.472161050606836
37,0.617283,2,False,False,-0.12696667807953754,-0.39777211541116425,0.3690314884210346,0.8806916051193747,0.04155588961161013,-0.010114202551067434,-0.4717553472061583
38,0.633967,2,False,False,-0.14287392476444488,-0.39860305087605874,0.36335407877370096,0.8806324792346052,0.03988303431193488,-0.00932578764443012,-0.4720262808107159
39,0.65065,2,False,False,-0.14170730225124634,-0.39630419517692356,0.3654014255619862,0.8809878429603413,0.039710859358603405,-0.01006941851187432,-0.4713619363248573
40,0.667333,2,False,False,-0.1409823588163161,-0.3959600455731903,0.3664234675231835,0.8811922991989917,0.03942815402156492,-0.010466335754430124,-0.4709947009454799
41,0.684017,2,False,False,-0.14037552465827333,-0.39586515387700755,0.36717322812830777,0.881239349365393,0.03884520738417943,-0.010577590443897307,-0.47095262349172656
42,0.7007,2,False,False,-0.13958918972232606,-0.3959909840647647,0.367740354321037,0.8812061713358283,0.03828126105687655,-0.010440006228604283,-0.47106393931343615
43,0.717383,2,False,False,-0.13898113634164255,-0.39621308354950696,0.3688330220487308,0.8811895434201237,0.03791871662071363,-0.010313354700991614,-0.47112715291276047
44,0.734067,2,False,False,-0.13815191038062002,-0.39610644546470364,0.3696705993136598,0.8811424212653901,0.037584247256580695,-0.01050401751279557,-0.47123786288965874
45,0.75075,2,False,False,-0.1351434906713505,-0.39942231587865296,0.365103102757247,0.8806505632559695,0.03766979967246513,-0.010869662989359081,-0.4721413157689951
46,0.767433,2,False,False,-0.1342911457743722,-0.3991641359954938,0.36606283127520756,0.8804961547288402,0.03740367559442166,-0.011169696064603708,-0.47244335581059654
47,0.784117,2,False,False,-0.13336877694429658,-0.3989728789169765,0.3669904048834536,0.8803497038066119,0.03696147476005051,-0.01150828841347103,-0.47274285577781616
48,0.8008,2,False,False,-0.13200639307081935,-0.39866479633061125,0.36779107631027347,0.8803622279156699,0.036428403573650646,-0.011543148049501259,-0.4727600605016678
49,0.817483,2,False,False,-0.13047943635458212,-0.398177882552354,0.36861683406748863,0.8806681264804087,0.035558037556205395,-0.011686069883735174,-0.4722528059602302
50,0.834167,2,False,False,-0.12916372471789717,-0.3975260592742039,0.3695036596112729,0.88102710448119,0.034918575801603804,-0.012004599389002037,-0.47162254380700197
51,0.85085,2,False,False,-0.12780160579611,-0.3967639458239316,0.3704125906017447,0.8814115633558611,0.034317135620705895,-0.012753661206363648,-0.4709281625802391
52,0.867533,2,False,False,-0.1167627743617662,-0.39693756850018425,0.36751888244314423,0.8813067990890893,0.03516135474998098,-0.014134208466780053,-0.47102253572680314
53,0.884217,2,False,False,-0.11537423390626574,-0.39657732361008335,0.3679605301117748,0.8813160896949028,0.03435354715161495,-0.015107319915197131,-0.47103455576843606
54,0.9009,2,False,False,-0.11399615166869341,-0.39633682423905536,0.36843974330845825,0.8811244820251305,0.03338290340056553,-0.016137335247336706,-0.4714284838102264
55,0.917583,2,False,False,-0.11257123958753398,-0.39588773311940484,0.36929787223999927,0.8808210901855021,0.0321211333675916,-0.01710032496356,-0.4720487461711401
56,0.934267,2,False,False,-0.11093726504561753,-0.3954442220351835,0.3702833821991982,0.8805338079920271,0.030983072580201203,-0.017786822324406797,-0.4726350506978402
57,0.95095,2,False,False,-0.13602720573931593,-0.39939954180567283,0.3666227831836818,0.8798316957305554,0.0274078227419701,-0.016062338870732887,-0.47422252130243847
58,0.967633,2,False,False,-0.13391520989537167,-0.39899063377045574,0.36773482955445735,0.8794095599994386,0.02696887340350888,-0.016485616284049695,-0.4750155051202797
59,0.984317,2,False,False,-0.1314243255976823,-0.3986585595459328,0.3691383913291081,0.8790886555098677,0.026580425366168853,-0.016976564180321566,-0.4756137224784816
60,1.001,2,False,False,-0.12945499764422172,-0.39832398379208833,0.3701322855249946,0.8789242048648525,0.026606406271453543,-0.017245030254779057,-0.4759064510799542
61,1.017683,2,False,False,-0.1269060847332062,-0.39789232197905283,0.37127207730628503,0.8787154749830983,0.026737521073678855,-0.017601146939193436,-0.47627137077351966
62,1.034367,2,False,False,-0.13240450851800026,-0.3998977999159534,0.3694690605942534,0.8782700818366125,0.026204313338702108,-0.01785674287479902,-0.47711228662345345
63,1.05105,2,False,False,-0.11874432395499039,-0.4001354829486611,0.36938824178522234,0.8776956052332925,0.02745264373997233,-0.019755102739824938,-0.4780235483965089
64,1.067733,2,False,False,-0.11809061570711171,-0.4001099157984521,0.36964789748717913,0.8773525760966592,0.027346141455056917,-0.020513990389644944,-0.47862701758506027
65,1.084417,2,False,False,-0.11742753717168365,-0.40028309861345435,0.3697125154141311,0.8771567740648113,0.02755916607727109,-0.020982471259100084,-0.4789532565681124
66,1.1011,2,False,False,-0.11722422409212815,-0.400747038410755,0.36981103581091435,0.876775937264695,0.028053650937807536,-0.02129560613909634,-0.47960759550057547
67,1.117783,2,False,False,-0.11680447428381861,-0.401444548935019,0.37036364804806954,0.8760574646707706,0.02851477482002411,-0.021769615808300183,-0.48087036718760695
68,1.134467,2,False,False,-0.11633770192999968,-0.4019966439710967,0.3706576586086885,0.8752017903095152,0.02905093428802513,-0.022196508152558136,-0.48237452719007223
