frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.0,2,False,False,-0.07745684625787508,-0.2022347121464594,0.23483203450695161,0.8592669964931917,-0.01125031611966641,0.01101461182088328,-0.5112849865302247
1,0.016683,2,False,False,-0.08077589709326723,-0.20074336234769988,0.2319706948099763,0.8591692339205286,-0.010697069030947155,0.01089430666392566,-0.511463697911075
2,0.033367,2,False,False,-0.07758356875235672,-0.20389563723096416,0.23289922938925223,0.8595054383751045,-0.010078615398438505,0.009503242297215308,-0.5109388528005188
3,0.05005,2,False,False,-0.07844705500547497,-0.2039593629274729,0.23209418669625798,0.8601532042372371,-0.009410507080752372,0.007231309939585371,-0.5098976522337151
4,0.066733,2,False,False,-0.07936076542901987,-0.20407027705468375,0.23121394025605585,0.8609370657445143,-0.008653322829837546,0.004488052385240396,-0.5086180750003049
5,0.083417,2,False,False,-0.0799873466709069,-0.20440288490849742,0.23053005947242952,0.8619301995432187,-0.008188014140477751,0.002293077399626583,-0.5069556482926901
6,0.1001,2,False,False,-0.07975412787913745,-0.20477719523721738,0.229905542339835,0.8629817081175598,-0.008252709465347254,0.0013444133053456522,-0.505165969552427
7,0.116783,2,False,False,-0.07887023463386666,-0.20507585267826825,0.229413160622494,0.8639956531438249,-0.008901620694003288,0.0017090109351739961,-0.5034176713020898
8,0.133467,2,False,False,-0.07745392462562925,-0.20503910807492495,0.2290059005940673,0.8648129576614648,-0.009711703031794838,0.0028952954177163034,-0.5019918807605316
9,0.15015,2,False,False,-0.07528041082587852,-0.20370448984145528,0.22901212687060601,0.8651770293915372,-0.009848544745704298,0.004304646254406167,-0.5013513578322608
10,0.166833,2,False,False,-0.07382251265160575,-0.20303173671996716,0.22946066639800944,0.8654897353625219,-0.010183780060374957,0.005893059701670425,-0.5007884587858891
11,0.183517,2,False,False,-0.07278453123216433,-0.20253254137267188,0.22960054690908296,0.8658545626733299,-0.010102339839791636,0.007166297336779016,-0.5001424429200331
12,0.2002,2,False,False,-0.07239651280320732,-0.2024340303477045,0.2294476636836989,0.8661954349595541,-0.010113699209034491,0.007899357378854839,-0.49954057062118495
13,0.216883,2,False,False,-0.07225225871688289,-0.20215949989183343,0.22920915622079363,0.8666660791600411,-0.009856971622404296,0.008119077865710055,-0.49872520281053284
14,0.233567,2,False,False,-0.07203216142690663,-0.20213528635972378,0.2290082505843083,0.8671057352900692,-0.009578017823480856,0.008097539003852225,-0.4979661989168772
15,0.25025,2,False,False,-0.07179812607415195,-0.2021703375477932,0.22865291519867245,0.867445644792657,-0.009657676414169867,0.00810475776386802,-0.4973721901334248
16,0.266933,2,False,False,-0.07114248276457688,-0.20193084639926612,0.22859062064016603,0.8676537710626829,-0.010191199688889294,0.008359619157618684,-0.4969941546710042
17,0.283617,2,False,False,-0.07206577098539964,-0.20148683657334093,0.22627183667544923,0.8674597494981277,-0.01111438924658657,0.009282204598348047,-0.4972965855805924
18,0.3003,2,False,False,-0.071218934581289,-0.20145212964287004,0.22620182389803234,0.867340670206504,-0.01205701179726574,0.009414498286348045,-0.49747980611706183
19,0.316983,2,False,False,-0.06957398651873044,-0.20236650641539003,0.22444966763060584,0.8671669709517088,-0.012790176050251775,0.010065592280800208,-0.49775148391449164
20,0.333667,2,False,False,-0.06913719052437464,-0.20280485703812967,0.2248638408588881,0.8671221219178984,-0.013647837731170901,0.01077061945976935,-0.4977920810562558
21,0.35035,2,False,False,-0.06867256465114334,-0.2030155405553467,0.22517762117468715,0.866999480204566,-0.014362258759319435,0.011639045446252097,-0.4979660224045842
22,0.367033,2,False,False,-0.06842286076078913,-0.2033200594863181,0.225449716895645,0.8667588466920795,-0.014855466557130492,0.01221864784085962,-0.49835642008438846
23,0.383717,2,False,False,-0.06822111346115328,-0.20374627693362946,0.2258093792498543,0.8664929066251892,-0.015114002728344114,0.012873003853883421,-0.4987944420916664
24,0.4004,2,False,False,-0.06800672439653678,-0.20406602929061005,0.2258914652684879,0.8662668424633624,-0.015312404166043453,0.013423513608954192,-0.49916640232451753
25,0.417083,2,False,False,-0.06743044576359775,-0.20419064758450714,0.22582338689802667,0.8660479965794565,-0.01604288398478925,0.01415583910920023,-0.4995028585636668
26,0.433767,2,False,False,-0.06607765244858121,-0.20614565134762675,0.2245652300444152,0.8658379034075291,-0.01707372655051572,0.014667930147680502,-0.4998180315972158
27,0.45045,2,False,False,-0.06469410236377676,-0.20704385938382833,0.2242426156315505,0.865642166792496,-0.018295147277816833,0.01528800738830458,-0.5000951944249924
28,0.467133,2,False,False,-0.06400092016645217,-0.20772794348953427,0.22389994563062607,0.8658591256528567,-0.019021476315101735,0.015782141093212562,-0.4996769776415344
29,0.483817,2,False,False,-0.06368702612199348,-0.20840467532507922,0.22366808346959247,0.8663028597822916,-0.019606267707643312,0.01595387639550742,-0.49887916696085466
30,0.5005,2,False,False,-0.06347270445902851,-0.2089007161766367,0.22354099034083794,0.8666569098228406,-0.02016294308953605,0.01602281366908233,-0.4982394262043289
31,0.517183,2,False,False,-0.06326384245729555,-0.20919854655395356,0.22351864190039641,0.8668614571068891,-0.020782599875980932,0.01599509055532231,-0.4978588703669373
32,0.533867,2,False,False,-0.06976096552497643,-0.20047895087972045,0.2235722958388928,0.8669288079439249,-0.02207050923586266,0.016765940083655388,-0.49766076581553653
33,0.55055,2,False,False,-0.06413036051845714,-0.2026601754676872,0.22356216879572288,0.8672114864721269,-0.021903643421579067,0.016880856817450184,-0.49717150442153574
34,0.567233,2,False,False,-0.06347858680068912,-0.20331953084536628,0.2233228478243843,0.8675589654483817,-0.022457199473757208,0.01771495173884424,-0.4965111238903109
35,0.583917,2,False,False,-0.06285557349500168,-0.20374640974391026,0.22337323955322347,0.8677731960694993,-0.022977806348247188,0.01886632091047892,-0.49607032015033053
36,0.6006,2,False,False,-0.06220484358370153,-0.20401541580806656,0.2234290219866354,0.8676930891176143,-0.023668393158796614,0.0199308446093384,-0.4961363438571808
37,0.617283,2,False,False,-0.06198631257098933,-0.20398338194484192,0.2234916868750082,0.8673817418616256,-0.024244920535489108,0.020644629832854262,-0.4966234961944356
38,0.633967,2,False,False,-0.06132684318139148,-0.20418275119073515,0.2239412598117407,0.8671658458332396,-0.024590461283559566,0.021222565299095775,-0.49695906044291976
39,0.65065,2,False,False,-0.06046518827821707,-0.2044011699361664,0.2240823630784339,0.8670311533563332,-0.02468626017175528,0.021858018000977985,-0.49716173899183763
40,0.667333,2,False,False,-0.06322657449281664,-0.2033023828846673,0.22223097157341337,0.8669149854013407,-0.025404099868343324,0.022812678203254975,-0.49728525165106924
41,0.684017,2,False,False,-0.0627335642851325,-0.20348924502425697,0.22209176703303687,0.8668822758562517,-0.025870466983601716,0.023412135528410916,-0.4972903685517499
42,0.7007,2,False,False,-0.06204970571539412,-0.20345422570782712,0.2218248056362,0.8668922858461466,-0.026219886472185577,0.02394355984923435,-0.4972293115209265
43,0.717383,2,False,False,-0.061608220987954626,-0.2031602510123934,0.22145890384083375,0.8669242976879523,-0.026522238441581344,0.0245872136068404,-0.4971260422401449
44,0.734067,2,False,False,-0.061387947959137726,-0.2029645315835413,0.2209472231463558,0.8670049638666042,-0.02687681058643326,0.025267940920308627,-0.496932149136094
45,0.75075,2,False,False,-0.061166898146955036,-0.2027896255260681,0.22053423109431913,0.8671565635356825,-0.027540348440327458,0.025952082607391697,-0.49659592520792034
46,0.767433,2,False,False,-0.06113848834806384,-0.20263585887210514,0.22043824595042982,0.8671489445675753,-0.028132136126822038,0.02599267157193079,-0.49657393394824495
47,0.784117,2,False,False,-0.057933802232312814,-0.20063300814170282,0.22050789851383126,0.8668167801063867,-0.028709571914376248,0.02526850392877675,-0.49715785512821825
48,0.8008,2,False,False,-0.057821472969588686,-0.20046825615230454,0.2208699518084417,0.8661912235806357,-0.029948564381393206,0.023993884459986414,-0.49823703313974527
49,0.817483,2,False,False,-0.057833319611791896,-0.20007912542069933,0.22095176474785078,0.8656636710895832,-0.03114264919695612,0.022604498425689405,-0.49914484932494696
50,0.834167,2,False,False,-0.057821584506474406,-0.1997220300506123,0.22096470965366052,0.8653335351489247,-0.03285410780714692,0.021070463359514638,-0.4996744101119012
51,0.85085,2,False,False,-0.0574906934326691,-0.19910202683325262,0.22062321886636777,0.8652180729601702,-0.03473079978495077,0.01996243028565717,-0.4997929162628031
52,0.867533,2,False,False,-0.0622724611412845,-0.19832968213955937,0.22110577344357535,0.8653983152944045,-0.03682899477589245,0.02015274898970759,-0.4993227891229897
53,0.884217,2,False,False,-0.0614935639811163,-0.19746255916594255,0.22029386782379412,0.8655925861534933,-0.038655561021452685,0.020269450489509275,-0.4988430332029076
54,0.9009,2,False,False,-0.05809404277613555,-0.19540890605513567,0.21901444999397118,0.8658557209179706,-0.03964413657761024,0.020580417557195533,-0.4982957549506205
